State,Count,Count2,Count3
AK,195,195,195
AL,1726,1726,1726
AR,2767,2767,2767
AZ,9356,9356,9356
CA,115452,115452,115452
CO,6341,6341,6341
CT,8016,8016,8016
DC,4074,4074,4074
DE,3346,3346,3346
FL,21329,21329,21329
FM,1,1,1
GA,22352,22352,22352
GU,334,334,334
HI,501,501,501
IA,3071,3071,3071
ID,861,861,861
IL,31687,31687,31687
IN,6073,6073,6073
KS,2722,2722,2722
KY,2609,2609,2609
LA,1904,1904,1904
MA,24611,24611,24611
MD,10559,10559,10559
ME,645,645,645
MI,20027,20027,20027
MN,10322,10322,10322
MO,8093,8093,8093
MP,327,327,327
MS,743,743,743
MT,187,187,187
NC,16931,16931,16931
ND,450,450,450
NE,2070,2070,2070
NH,1410,1410,1410
NJ,42206,42206,42206
NM,842,842,842
NV,1363,1363,1363
NY,50709,50709,50709
OH,15370,15370,15370
OK,1708,1708,1708
OR,4596,4596,4596
PA,21397,21397,21397
PR,547,547,547
PW,2,2,2
RI,2324,2324,2324
SC,2879,2879,2879
SD,296,296,296
TN,6801,6801,6801
TX,65296,65296,65296
UT,2934,2934,2934
VA,17679,17679,17679
VI,50,50,50
VT,396,396,396
WA,24706,24706,24706
WI,6461,6461,6461
WV,517,517,517
WY,124,124,124
